"CPI","Metric","Value"
"CPI: Food & Beverage Serving Services (FBSS)","Start CPI (2020-01)","84.699"
"CPI: Food & Beverage Serving Services (FBSS)","End CPI (2025-12)","101.845"
"CPI: Food & Beverage Serving Services (FBSS)","Total Increase","17.146"
"CPI: Food & Beverage Serving Services (FBSS)","Increase Rate","20.2%"
"CPI: FBSS: Restaurants, Cafes & Pubs","Start CPI (2020-01)","85.304"
"CPI: FBSS: Restaurants, Cafes & Pubs","End CPI (2025-12)","101.474"
"CPI: FBSS: Restaurants, Cafes & Pubs","Total Increase","16.17"
"CPI: FBSS: Restaurants, Cafes & Pubs","Increase Rate","19%"
"CPI: FBSS: Fast Food","Start CPI (2020-01)","83.474"
"CPI: FBSS: Fast Food","End CPI (2025-12)","103.532"
"CPI: FBSS: Fast Food","Total Increase","20.058"
"CPI: FBSS: Fast Food","Increase Rate","24%"
"CPI: FBSS: Hawker Food Incl. Food Courts (HF&FC)","Start CPI (2020-01)","84.389"
"CPI: FBSS: Hawker Food Incl. Food Courts (HF&FC)","End CPI (2025-12)","101.98"
"CPI: FBSS: Hawker Food Incl. Food Courts (HF&FC)","Total Increase","17.591"
"CPI: FBSS: Hawker Food Incl. Food Courts (HF&FC)","Increase Rate","20.8%"
"CPI: FBSS: Oth Catering Services, Incl Vending Machines","Start CPI (2020-01)","86.5"
"CPI: FBSS: Oth Catering Services, Incl Vending Machines","End CPI (2025-12)","100.243"
"CPI: FBSS: Oth Catering Services, Incl Vending Machines","Total Increase","13.743"
"CPI: FBSS: Oth Catering Services, Incl Vending Machines","Increase Rate","15.9%"
"CPI: All Items Less Accommodation","Start CPI (2020-01)","85.897"
"CPI: All Items Less Accommodation","End CPI (2025-12)","101.888"
"CPI: All Items Less Accommodation","Total Increase","15.991"
"CPI: All Items Less Accommodation","Increase Rate","18.6%"
"CPI: All Items Less Imputed Rentals For Housing","Start CPI (2020-01)","85.93"
"CPI: All Items Less Imputed Rentals For Housing","End CPI (2025-12)","102.164"
"CPI: All Items Less Imputed Rentals For Housing","Total Increase","16.234"
"CPI: All Items Less Imputed Rentals For Housing","Increase Rate","18.9%"
